Event	ID	Name			Wwise Object Path	Notes
	65040483	Slow_motion			\Default Work Unit\Slow_motion	
	287322247	Metal_impact			\Default Work Unit\Metal_impact	
	321149201	special_bullet_finish			\Default Work Unit\special_bullet_finish	
	787880896	Bonus_a_las_chapas			\Default Work Unit\Bonus_a_las_chapas	
	805183050	Vuelta_menu			\Default Work Unit\Vuelta_menu	
	817140250	Play_Again			\Default Work Unit\Play_Again	
	1012735729	Special_bullet			\Default Work Unit\Special_bullet	
	1302509176	mute_off			\Default Work Unit\mute_off	
	1781283874	mute_on			\Default Work Unit\mute_on	
	2074161316	Ingame_finish			\Default Work Unit\Ingame_finish	
	2607556080	Menu			\Default Work Unit\Menu	
	2712121899	Ingame_start			\Default Work Unit\Ingame_start	
	2960112896	Menu_touch			\Default Work Unit\Menu_touch	
	3082267818	Tutorial3			\Default Work Unit\Tutorial3	
	3082267819	Tutorial2			\Default Work Unit\Tutorial2	
	3082267821	Tutorial4			\Default Work Unit\Tutorial4	
	3315412319	Target_impact			\Default Work Unit\Target_impact	
	3512088084	Surprise			\Default Work Unit\Surprise	
	3537842899	Wood_impact			\Default Work Unit\Wood_impact	
	3762955427	Tutorial			\Default Work Unit\Tutorial	
	3794905598	Bonus_a_las_chapas_finish			\Default Work Unit\Bonus_a_las_chapas_finish	
	4269671311	Slow_motion_finish			\Default Work Unit\Slow_motion_finish	

Game Parameter	ID	Name			Wwise Object Path	Notes
	766250872	volumen_tutorial			\Default Work Unit\volumen_tutorial	
	805414446	LPF_tutorial			\Default Work Unit\LPF_tutorial	
	1897326479	playbackspeed			\Default Work Unit\playbackspeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	12202811	Menu	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\infinite shot intro_E60452FC.wem		\Interactive Music Hierarchy\Default Work Unit\Partes del juego\Menu\Menu\Menu		3525953
	22768530	Blood 1	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\Blood 1_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Blood\Blood 1		17563
	44553425	Madera rota2s	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\Madera rota2s_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Wood_impact\Wood_impact_01\Madera rota2s		62082
	58999270	efecto de disparo 4	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\efecto de disparo 4_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Initial_Shot\Shots\efecto de disparo 4		25438
	67166049	grito 3_2	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\grito 3.2_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Screams\grito 3_2		39020
	94040415	Surprise 6	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\Surprise 6_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Surprise\Surprise 6		15133
	103380563	Grito 14	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\Grito 14_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Screams\Grito 14		31785
	133606543	efecto de disparo 6	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\efecto de disparo 6_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Initial_Shot\Shots\efecto de disparo 6		24789
	168527365	Blood 3	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\Blood 3_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Blood\Blood 3		18837
	172932393	Cadenita 5	C:\Impossible-Shot\ImpossibleShotProt\Infinite Shot\.cache\Android\SFX\Cadenita 5_474E68A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\Chains\Cadenita 5		53030
